,0
0,0.4033417093806225
1,0.2171167242950542
2,0.3503935626262667
3,0.33750440582072067
4,0.3430475617947281
5,0.4079550016883186
6,0.452147574257488
7,0.40337195445509033
8,0.33815915907511923
9,0.3599538642015334
10,0.19379944152731696
11,0.3902535445091893
12,0.33298012848241687
13,0.3997843058809123
14,0.2621074914276598
15,0.44246522618442696
16,0.4973107542816702
17,0.3843267016365203
18,0.37662622749657865
19,0.25808088089016173
20,0.33533376145129823
21,0.3201386062372146
22,0.3004133431342476
23,0.33186562033065165
24,0.22661215208361452
25,0.2336077588689448
26,0.3840992288693204
27,0.32526617258257645
28,0.33332770456776173
29,0.3234598538688422
30,0.4440266230127269
31,0.26986808143547175
32,0.2325813302262124
33,0.4409886154617988
34,0.3705566450371929
35,0.4632405585669647
36,0.25545871291960637
37,0.44601594863478355
38,0.34167983456224377
39,0.4612213248355052
40,0.44966430159157933
41,0.2614875850315402
42,0.6882175051835011
43,0.20325035585564533
44,0.21990115753878192
45,0.3133852678948181
46,0.3728219547953802
47,0.45024366130013865
48,0.35627375656563676
49,0.4485156161847073
50,0.37508140747033264
51,0.22260564520145543
52,0.21003167312185198
53,0.19560551433022755
54,0.1210592988243386
55,0.5412530525960394
56,0.4162722050728313
57,0.3440182414325275
58,0.25864742488979237
59,0.3901921389988306
60,0.5386529291445292
61,0.48431226288932255
62,0.4112301328104323
63,0.5309833954781242
64,0.26258691302905707
65,0.258877457989669
66,0.47926876691801845
67,0.504665336504818
68,0.3990319993714577
69,0.41285999833141973
70,0.36067837708384065
71,0.312291580498991
72,0.28630628922636286
73,0.34091415105173234
74,0.3159020399281381
75,0.3513889352535653
76,0.4339440330311936
77,0.213329851062639
78,0.44953422002614646
79,0.35992293718997714
80,0.3145749693637902
81,0.4476472083319365
82,0.24721881700517825
83,0.24771438539013244
84,0.4543807029216933
85,0.4193150021101168
86,0.36118438935078406
87,0.4198160517047295
88,0.38485509329027356
89,0.396022741570741
90,0.432334416941165
91,0.5786026997969568
92,0.2581614968602513
93,0.47096884492694224
94,0.5592628003524338
95,0.324328467423151
96,0.15099405965747545
97,0.30123652903949705
98,0.29716572963603544
99,0.46955094077707016
100,0.3218700453822771
101,0.43714526844969454
102,0.37827829933067575
103,0.4670317816029048
104,0.5837473323789825
105,0.5512921984475574
106,0.1807150200237593
107,0.5110634619789033
108,0.1861066915128373
109,0.16317506189030867
110,0.3215467275281432
111,0.1797353208145969
112,0.3782146704901123
113,0.48599686361380334
114,0.09547638581324847
115,0.36918900179755065
116,0.6102633022939856
117,0.17194258742854163
118,0.35897883611418907
119,0.3077325629185457
120,0.4525922727063517
121,0.21050485379281006
122,0.40503281396755875
123,0.3742850157993112
124,0.4821514142192373
125,0.33325775887558834
126,0.4381430673781648
127,0.29034363927730855
128,0.5108159755047934
129,0.44085823510894706
130,0.20233988691402885
131,0.550175396604983
132,0.3004293698593703
133,0.35486484671474766
134,0.47117333196844075
135,0.3611819978847243
136,0.3289236630109544
137,0.48447964170336155
138,0.38424907963775384
139,0.16243032537139018
140,0.2011325789807545
141,0.47623921833437066
142,0.3046825248914255
143,0.5197562809793558
144,0.5291089461191366
145,0.1960007046421548
146,0.4778497420509158
147,0.3295629148689082
148,0.576185217459995
149,0.23662994925812678
150,0.44507067835717284
151,0.16955572426227897
152,0.5782989637293597
153,0.6000450636944955
154,0.30854721849153904
155,0.26146059324267773
156,0.19520149291977248
157,0.3122556114926695
158,0.3110727992712671
159,0.1518719632704601
160,0.2822776607104418
161,0.445075850251112
162,0.4115569678035262
163,0.42136566904742145
164,0.17127808139201328
165,0.2757150003603591
166,0.23544947201993519
167,0.19187235285768403
168,0.236984291624593
169,0.2093905632507547
170,0.3073550952551806
171,0.35678692717772326
172,0.2646799717163972
173,0.3152870622125709
174,0.44364508436510386
175,0.3534009112080718
176,0.21467645820041859
177,0.4799003206095727
178,0.19587773635801214
179,0.3434617946751539
180,0.5127154369143639
181,0.3318747247215804
182,0.1270020323430663
183,0.3815195288469561
184,0.11098259245907355
185,0.8020063668383586
186,0.20836210814807157
187,0.423853195974319
188,0.4666259049201649
189,0.3154214456409427
190,0.29161498443721307
191,0.3358010736195262
192,0.24183672929782674
193,0.4148172396439532
194,0.3005347419129086
195,0.2438442589058948
196,0.4339574966232783
197,0.3040543971497027
198,0.5738661736745462
199,0.3041180066094029
200,0.2864237717984838
201,0.14201898005596894
202,0.23388899946762837
203,0.2256322940805402
204,0.36750889420362637
205,0.5042414926498645
206,0.39573591569494415
207,0.22819375430302338
208,0.38311019580788525
209,0.18673162753769523
210,0.2778454352870441
211,0.147160108928629
212,0.47125334111548267
213,0.5413942833016759
214,0.32666455616557827
215,0.2678322396437385
216,0.24436891760011212
217,0.3260138272145369
218,0.4129160723217049
219,0.182881158578356
220,0.18255261214489554
221,0.5923413203327894
222,0.2625220649900863
223,0.26849959621821484
224,0.2029730758116605
225,0.27216474851811284
226,0.2703250128318895
227,0.2833508913665779
228,0.6939820118535838
229,0.4889475994638074
230,0.3865301765023837
231,0.3391600714411868
232,0.31430131073439166
